mz,rt,Neutral_Operator_Dif_Pos_1x_O1_A,Neutral_Operator_Dif_Pos_1x_O1_B,Neutral_Operator_Dif_Pos_1x_O1_C,Neutral_Operator_Dif_Pos_1x_O2_A,Neutral_Operator_Dif_Pos_1x_O2_B,Neutral_Operator_Dif_Pos_1x_O2_C,Neutral_Operator_Dif_Pos_1x_O3_A,Neutral_Operator_Dif_Pos_1x_O3_B,Neutral_Operator_Dif_Pos_1x_O3_C,Neutral_Operator_Dif_Pos_2x_O1_A,Neutral_Operator_Dif_Pos_2x_O1_B,Neutral_Operator_Dif_Pos_2x_O1_C,Neutral_Operator_Dif_Pos_2x_O2_A,Neutral_Operator_Dif_Pos_2x_O2_B,Neutral_Operator_Dif_Pos_2x_O2_C,Neutral_Operator_Dif_Pos_2x_O3_A,Neutral_Operator_Dif_Pos_2x_O3_B,Neutral_Operator_Dif_Pos_2x_O3_C,Neutral_Operator_Dif_Pos_4x_O1_A,Neutral_Operator_Dif_Pos_4x_O1_B,Neutral_Operator_Dif_Pos_4x_O1_C,Neutral_Operator_Dif_Pos_4x_O2_A,Neutral_Operator_Dif_Pos_4x_O2_B,Neutral_Operator_Dif_Pos_4x_O2_C,Neutral_Operator_Dif_Pos_4x_O3_A,Neutral_Operator_Dif_Pos_4x_O3_B,Neutral_Operator_Dif_Pos_4x_O3_C
497.7963,0.6417037,104534,102986,106154,131906,146823,141088,149840,151858,149558,114137,113388,113706,122895,123576,123111,163117,170029,172042,103862,110852,100294,118873,118162,117753,119855,116856,124824
331.8654,0.6477408,126795,124792,127501,192851,198998,191000,211505,211448,208617,145092,144383,143931,160376,165672,158976,229746,232777,239126,123922,131895,129922,156012,157959,153575,152656,155850,160200
80.0609,0.6517916,1,102682,54520,164719,149482,149707,172018,156521,151395,120753,1,1,126874,137049,120793,175710,155585,161324,111290,105091,104733,142647,126006,140919,113640,101329,108701
498.3011,0.6497273,1,1,42479,78786,80838,79811,1,81076,1,48308,1,1,1,1,1,86951,89285,91272,1,1,1,66768,67650,1,1,1,1
242.176,0.6486296,787116,764197,792081,971310,1027449,999535,1094905,1122491,1112100,831082,850310,829400,915464,923288,910396,1096568,1127312,1155579,744713,783387,795956,852686,859496,854675,753937,800885,805058
261.833,0.6573334,30507,25868,28142,40088,50599,45433,45271,49132,52343,35094,39660,33345,39635,36709,36664,46112,55012,54903,29443,33650,34694,35581,36496,33219,22002,24501,23032
141.9946,0.65804535,251768,30624,20839,76946,132198,1,14437,74366,17096,54162,65860,21350,73800,1,1,81206,18533,19320,1,42336,57304,105307,1,35721,52077,47357,45263
220.1585,0.63953334,1,1,185478,240558,259043,243137,257753,1,263424,195740,1,198349,1,1,210127,269006,274726,275898,1,1,1,1,205810,207275,1,217602,1
424.7653,0.664926,120203,112448,116755,149319,160966,153863,168190,177699,179404,131530,133599,127200,147752,153769,149352,184358,188251,191347,119865,126590,126594,140245,138198,138466,127403,127777,133691
299.3435,0.67275995,22880,23874,23407,30020,33406,30500,35732,37330,37559,25590,25457,25313,30611,31062,29198,1,36928,38095,1,23432,25188,26178,26878,25863,24718,25823,26750
299.192,0.6664444,1247144,1245915,1649340,2038024,2143366,2089039,2278244,2315722,2315789,1334689,1365600,1335411,1541405,1558287,2012039,2292040,2334175,2391677,1183898,1227881,1241427,1812520,1840326,1422427,1702972,1354353,1365321
299.8434,0.6725653,24848,1,24716,34977,40596,1,37863,43650,41896,28158,30027,26997,1,33856,32124,41426,44580,1,24771,27062,27846,28723,32865,29582,20757,23414,21596
734.4003,0.6857407,31353,31018,31772,31122,32694,33539,39595,39662,40784,28235,27841,28327,30154,33559,30018,44047,44322,46871,27459,27689,27708,30514,32709,30324,31220,31361,31755
490.7844,0.8497407,82208,77615,84150,78811,79600,78698,87954,86311,86525,84460,86834,79893,103076,100943,101956,82453,87293,89426,71328,75360,80613,77307,76049,78670,80709,83316,81078
394.2255,0.7962381,99184,98320,97056,1,74639,100353,109082,79693,78904,95975,99184,1,1,87246,87393,81001,104402,108354,1,1,1,94167,96092,90186,97902,103397,99543
491.2882,0.85365,51691,51398,54553,46928,51399,198940,55406,53233,57225,53857,1,53839,63211,61703,63192,1,1,1,1,50602,1,51441,52218,51099,51363,1,54106
512.7984,0.8554075:1,81190,82088,83901,79531,81643,81092,88670,87818,91473,83732,89168,86028,102753,102096,98506,84235,88213,89972,73777,78947,80475,77597,78320,78335,81216,83888,84764
556.8242,0.8641112,79339,75081,81876,73379,78806,73966,86456,85547,85648,83479,87103,83506,97704,99838,95824,80444,86743,85586,76169,80147,83568,75297,77660,76048,76874,82288,84177
600.8515,0.8738148,64608,64593,66206,58336,63506,59907,71358,70693,69373,69288,74895,70127,79564,80600,77070,67245,68785,71457,64211,65345,69122,61537,62837,61727,65034,69007,67847
534.8112,0.8590001:1,84355,82216,84980,76814,79837,77571,87248,88643,86835,82720,89759,84918,103936,101700,98720,83049,88587,90097,76775,80163,83202,77885,77776,79686,82198,87778,85628
